full_name,H,albedo,a,e,i,long_node,arg_peri,anomaly,peri,apo,period
  3271 Ul (1982 RB),16.55,,2.101375424,0.395993928,25.07546565,158.8137732,159.1123018,274.9581675,1.269243516,2.933507333,3.046236907
  3288 Seleucus (1982 DV),15.26,0.22,2.032461278,0.45630722,5.93140958,218.6244991,349.3062674,191.8316506,1.105034522,2.959888033,2.897621281
  3352 McAuliffe (1981 CW),15.82,,1.879461652,0.368903238,4.77095417,107.3485335,16.0770486,247.0348034,1.186122163,2.572801141,2.576667654
  3360 Syrinx (1981 VA),15.94,0.17,2.466092755,0.746051896,21.15563785,242.5427791,63.48902649,103.3702956,0.62625958,4.30592593,3.87277542
  3361 Orpheus (1982 HR),19.03,0.357,1.210385151,0.322994597,2.677914785,189.1507549,301.9377768,213.3637441,0.819437287,1.601333016,1.3316607
  3362 Khufu (1984 QA),18.3,0.21,0.989521052,0.468497999,9.917251232,152.4319371,55.04828263,234.3405288,0.52593242,1.453109685,0.98434142
  3551 Verenia (1983 RD),16.65,0.37,2.092873973,0.487078623,9.50949034,173.7811939,193.2599319,171.0812876,1.073479801,3.112268145,3.027769557
  3552 Don Quixote (1983 SA),12.96,0.03,4.262378281,0.708809907,31.09360793,349.928935,316.5612229,128.8142557,1.241162329,7.283594233,8.800071234
  3553 Mera (1985 JA),16.38,,1.6446021,0.320087523,36.76787534,232.5249093,288.8679964,87.00588442,1.118185487,2.171018712,2.109111127
  3554 Amun (1986 EB),15.82,0.074,0.973992648,0.280624327,23.35742403,358.6076069,359.4023029,72.08920137,0.700666616,1.24731868,0.96126188
  3671 Dionysus (1984 KD),16.48,0.16,2.198703855,0.541495304,13.53221319,82.08704974,204.2778547,127.7171551,1.008116042,3.389291668,3.260305594
  3691 Bede (1982 FT),14.77,0.515,1.774150512,0.284240932,20.36140843,348.7433418,234.9184848,203.1879478,1.269864318,2.278436706,2.363164172
  3752 Camillo (1985 PA),15.23,0.21,1.413545121,0.301617408,55.56496762,147.9626986,312.2456428,22.65793468,0.987195305,1.839894937,1.680632339
  3753 Cruithne (1986 TO),15.57,0.365,0.997717792,0.514932169,19.80693468,126.2200107,43.84406906,198.1085394,0.483960805,1.511474778,0.996597464
  3757 Anagolay (1982 XB),18.9,0.18,1.834347354,0.446093937,3.867410805,74.95938183,17.21953468,176.2182205,1.016056121,2.652638586,2.48445176
  3838 Epona (1986 WA),15.58,,1.504998356,0.70243662,29.20072397,235.4837936,49.71974377,302.9767217,0.447832397,2.562164314,1.846342389
  3908 Nyx (1980 PA),17.35,0.23,1.927950535,0.459001284,2.185201722,261.2404766,126.5794493,82.3540309,1.043018764,2.812882306,2.677022571
  3988 Huma (1986 LA),17.8,,1.544404875,0.316733237,10.76757862,229.8057456,86.90575422,58.12689661,1.05524052,2.03356923,1.91933131
  4015 Wilson-Harrington (1979 VA),16.02,0.05,2.625200605,0.63158162,2.798701723,266.7905245,95.41029245,262.7481363,0.967172155,4.283229054,4.253553951
  4034 Vishnu (1986 PA),18.34,0.52,1.059632132,0.444005695,11.16826385,157.9065309,296.7042711,252.3717346,0.589149431,1.530114833,1.09078933
  4055 Magellan (1985 DO2),14.71,0.31,1.82038576,0.326172156,23.25509699,164.8241143,154.3928395,144.1087359,1.226626612,2.414144908,2.456141293
  4179 Toutatis (1989 AC),15.24,0.405,2.544873291,0.624165704,0.448141404,125.1996808,277.9980925,47.40023812,0.956450662,4.13329592,4.059826256
  4183 Cuno (1959 LM),14.11,0.097,1.984069187,0.634419411,6.69868733,294.8459221,236.3984063,110.9849908,0.725337181,3.242801192,2.794752935
  4197 Morpheus (1982 TA),14.93,0.37,2.294549824,0.772637013,12.6021015,7.023935678,122.5555085,15.54289857,0.521695703,4.067403946,3.475797296
  4257 Ubasti (1987 QA),15.87,,1.647199919,0.468084097,40.72224492,169.1615015,278.9501997,319.5681207,0.876171832,2.418228006,2.11411044
  4341 Poseidon (1987 KF),15.92,0.054,1.834842868,0.680005754,11.83647393,108.056483,15.81952787,286.2110518,0.587139161,3.082546575,2.485458519
  4401 Aditi (1985 TB),16.02,0.343,2.581506042,0.563819594,26.62555887,22.83756083,68.17568576,207.6261643,1.126002353,4.037009732,4.147801087
  4450 Pan (1987 SY),17.16,,1.442213934,0.586484304,5.520586955,311.8032495,291.8263924,227.0850855,0.596378099,2.28804977,1.732019325
  4486 Mithra (1987 SB),15.52,0.297,2.199444695,0.662801497,3.039311152,82.24097394,168.909773,153.6247564,0.741649458,3.657239931,3.261953542
  4487 Pocahontas (1987 UA),17.43,,1.730326143,0.296642375,16.4061852,198.1142325,173.9494453,294.5847834,1.217038086,2.243614199,2.276146212
  4503 Cleobulus (1989 WM),15.78,,2.705224074,0.52423902,2.51282856,45.95571142,76.30175744,20.7544588,1.287040058,4.123408091,4.449519022
  4544 Xanthus (1989 FB),17.16,,1.041934979,0.250196862,14.14456039,23.97396612,333.8670084,318.6760031,0.781246117,1.30262384,1.06357747
  4581 Asclepius (1989 FC),20.79,,1.022707035,0.356981325,4.917358218,180.2089141,255.3634571,144.6583388,0.657619722,1.387794347,1.034272714
  4596 (1981 QB),16.33,,2.239264242,0.519940162,37.07758346,154.2265447,248.3693377,296.2195774,1.074980829,3.403547656,3.350936669
  4660 Nereus (1982 DB),18.31,0.55,1.488960981,0.360038839,1.431648482,314.4065231,158.1163447,256.7084297,0.952877198,2.025044764,1.816909007
  4688 (1980 WF),19.48,0.18,2.232915393,0.517590163,6.373458923,241.2278124,213.8597779,49.47087008,1.07718035,3.388650436,3.336695715
  4769 Castalia (1989 PB),17.48,0.092,1.063203545,0.483097792,8.885699226,325.5390171,121.4136291,321.5861759,0.54957226,1.576834829,1.096308613
  4947 Ninkasi (1988 TJ1),18.01,,1.370107412,0.1684213,15.6511186,215.4338292,192.9426606,124.5864345,1.139352141,1.600862683,1.603762764
  4953 (1990 MU),15.02,,1.621304411,0.657647554,24.38839422,77.70028517,77.75554909,70.31146309,0.55505753,2.687551292,2.064453232
  4954 Eric (1990 SQ),12.59,0.176,2.001447661,0.449165582,17.42883905,358.4290026,52.55775703,288.9056034,1.102466258,2.900429065,2.831552111
  4957 Brucemurray (1990 XJ),14.9,0.132,1.565413234,0.218943796,35.01006599,254.8939279,97.47191896,264.6227203,1.222675719,1.90815075,1.958626851
  5011 Ptah (6743 P-L),16.36,,1.6358044,0.500202292,7.410495852,10.64304843,105.9680855,326.4910059,0.81757129,2.45403751,2.092209936
  5131 (1990 BG),14.81,,1.486043267,0.569083828,36.42955559,110.3743091,135.8460766,63.03035054,0.640360077,2.331726458,1.811571101
  5143 Heracles (1991 VL),13.94,0.227,1.833146737,0.772423209,9.030843942,309.492791,227.779096,288.0228618,0.417181652,3.249111823,2.482012975
  5189 (1990 UQ),17.9,,1.55178396,0.478269048,3.579031558,135.070815,159.9572837,3.705377519,0.809613722,2.293954198,1.933103424
  5324 Lyapunov (1987 SL),15.5,,2.985919192,0.604875971,19.61482597,352.2515164,321.1003803,231.7796806,1.179808422,4.792029963,5.159709819
  5332 Davidaguilar (1990 DA),14.77,,2.16381223,0.455053442,25.51827688,142.788398,306.0672058,326.6664949,1.179162027,3.148462432,3.183006745
  5370 Taranis (1986 RA),15.1,0.037,3.324003886,0.63699368,19.16254534,177.7993153,161.2969688,254.7289225,1.206634417,5.441373355,6.060388794
  5381 Sekhmet (1991 JY),16.6,0.507,0.947486819,0.296335011,48.96472603,58.5355711,37.43038498,352.4033205,0.666713302,1.228260336,0.922290994
  5496 (1973 NA),16,,2.435262597,0.635395463,68.01200392,101.0420257,118.0208818,243.0845651,0.887907791,3.982617403,3.800378916
  5587 (1990 SB),13.82,0.32,2.396961033,0.544583603,18.09459231,189.9386874,86.81152451,144.449033,1.091615357,3.702306709,3.711074415
  5590 (1990 VA),19.7,,0.985707185,0.279508965,14.18527168,216.2864892,34.49165625,253.2123132,0.71019319,1.261221181,0.978656051
  5604 (1992 FE),17.27,0.48,0.928586626,0.406005101,4.715340382,311.9094073,82.64903302,23.79801179,0.551575719,1.305597533,0.894832685
  5620 Jasonwheeler (1990 OA),17.04,,2.15970969,0.42230172,7.872350855,128.6777874,153.8137632,277.9373895,1.247660573,3.071758807,3.173958672
  5626 Melissabrucker (1991 FE),14.25,,2.194063888,0.454633335,3.849326213,173.1034427,231.8472438,195.0374741,1.196569305,3.19155847,3.249990612
  5645 (1990 SP),17.23,0.121,1.354475707,0.38734379,13.50551576,45.72711115,48.26337427,131.7928051,0.829827953,1.87912346,1.576394941
  5646 (1990 TR),15.37,0.223,2.14301577,0.436198145,7.908125277,14.10608978,335.7464594,296.8545196,1.208236266,3.077795274,3.13722923
  5653 Camarillo (1992 WD5),16.16,0.271,1.79395718,0.30460188,6.876529897,9.894383301,122.6936845,290.0515513,1.24751445,2.34039991,2.402848068
  5660 (1974 MA),15.48,,1.785154328,0.761962674,38.13092744,302.1560641,127.0201262,220.6613925,0.424933363,3.145375292,2.38518381
  5693 (1993 EA),16.69,,1.270960299,0.585205148,5.054467283,97.03084724,258.891503,94.71003331,0.527187789,2.014732809,1.432867985
  5731 Zeus (1988 VP4),15.51,0.031,2.268176742,0.653177474,11.31593204,281.3808593,217.5280722,179.1335735,0.786654787,3.749698697,3.416044673
  5751 Zao (1992 AC),14.75,0.36,2.10263972,0.42478612,16.07289926,121.6545747,25.42910912,224.834861,1.209467551,2.995811888,3.048986479
  5786 Talos (1991 RC),17.13,,1.081416986,0.826926673,23.2371505,161.3015786,8.35491657,302.4669528,0.187164435,1.975669537,1.12459975
  5797 Bivoj (1980 AA),18.8,,1.893611008,0.444160425,4.189732935,298.9408506,168.6708201,333.86948,1.052543938,2.734678079,2.605819662
  5828 (1991 AM),15.92,0.331,1.697978158,0.695014848,30.12692503,125.4261255,152.7754901,241.186497,0.517858127,2.878098188,2.212617542
  5836 (1993 MF),14.92,0.156,2.440300216,0.536859322,7.947977644,238.7767918,77.97544471,108.4986496,1.130202296,3.750398137,3.81217729
  5863 Tara (1983 RB),15.76,0.488,2.222329688,0.505788268,19.49246095,168.891961,115.514637,168.8061824,1.098301405,3.346357971,3.312996173
  5869 Tanith (1988 VN4),17.2,,1.811963499,0.32150316,17.92359797,227.8756282,230.8549831,105.9375062,1.229411508,2.394515489,2.439115518
  5879 Almeria (1992 CH1),17.73,,1.624298909,0.289366056,21.57981022,145.8441533,355.7058397,70.10524051,1.15428194,2.094315878,2.070175342
  6037 (1988 EG),18.77,,1.27113823,0.499558871,3.500038592,182.3651715,242.1919166,141.833473,0.63612985,1.906146609,1.433168892
  6047 (1991 TB1),17.79,,1.454541248,0.352109664,23.47570186,6.07563156,103.8328415,285.9083651,0.942383217,1.966699279,1.754273344
  6050 Miwablock (1992 AE),14.88,0.257,2.202131377,0.436973418,6.404592419,88.19225077,284.9408315,30.25992343,1.239858502,3.164404252,3.267932216
  6053 (1993 BW3),14.9,0.14,2.14764232,0.528244648,21.58274046,318.2610898,74.87976235,64.92862328,1.01316176,3.282122881,3.147394143
  6063 Jason (1984 KB),15.96,0.21,2.215602222,0.766019565,4.926567633,169.2852643,337.3148009,101.4263386,0.518407572,3.912796872,3.297963845
  6178 (1986 DA),15.81,0.15,2.818757339,0.582519652,4.30602633,64.57017956,127.3338251,163.6450453,1.176775795,4.460738884,4.732544838
  6239 Minos (1989 QF),18.49,,1.151297157,0.412564489,3.941909225,344.5747844,239.7019152,343.662062,0.676312834,1.626281481,1.235348098
  6455 (1992 HE),13.94,0.227,2.241191385,0.57242151,37.33426796,26.91478003,262.7985875,236.1782583,0.958285228,3.524097542,3.355263395
  6456 Golombek (1992 OM),15.96,,2.19234775,0.409419837,8.225534896,313.5799058,347.173012,329.4398478,1.294757091,3.089938409,3.246178274
  6489 Golevka (1991 JX),19.2,0.151,2.48544896,0.612700437,2.265597261,209.5162673,68.63434663,209.2551195,0.962613295,4.008284624,3.918460523
  6491 (1991 OA),18.7,,2.500893215,0.590743509,5.948267236,301.8924779,323.6578809,203.0534402,1.023506782,3.978279649,3.955040407
  6569 Ondaatje (1993 MO),16.68,,1.626105288,0.220725582,22.64079674,111.481047,167.3105172,176.8014064,1.267182252,1.985028325,2.073629658
  6611 (1993 VW),16.88,0.158,1.696668415,0.484513437,8.694162889,230.9000708,281.4163802,137.9495086,0.874609769,2.518727061,2.210057968
  7025 (1993 QA),18.1,0.34,1.475776129,0.315215155,12.61098118,146.6078579,323.4653985,72.82701856,1.010589128,1.940963129,1.792829229
  7088 Ishtar (1992 AA),16.84,0.26,1.981110249,0.390539682,8.302153344,102.6513008,354.7253184,206.3346642,1.207408081,2.754812416,2.788503341
  7092 Cadmus (1992 LC),15.02,0.046,2.538636328,0.697329287,17.7831444,57.54294628,94.03200925,97.9891056,0.768370868,4.308901789,4.0449107
  7236 (1987 PA),18.3,,2.724984452,0.55943248,16.33659693,308.5117564,337.9215818,203.3496146,1.200539642,4.249429262,4.498360378
  7335 (1989 JA),17.52,0.448,1.770775847,0.484205645,15.19230211,61.3111305,232.2906286,205.8176113,0.913356186,2.628195507,2.35642481
  7336 Saunders (1989 RS1),18.8,,2.305175932,0.481659368,7.197477548,174.4743906,181.4518225,26.98726433,1.194866348,3.415485515,3.499969961
  7341 (1991 VK),16.84,0.235,1.842013542,0.505877845,5.412420497,294.7886524,173.4923683,282.9191375,0.9101797,2.773847384,2.500042723
  7350 (1993 VA),17.22,0.069,1.356035762,0.391257992,7.262937053,133.1117469,336.6553367,152.2704781,0.825475932,1.886595591,1.57911921
