full_name,H,albedo,a,e,i,long_node,arg_peri,anomaly,peri,apo,period
       (2009 WD11),21.9,,1.066612251,0.408241504,11.65026352,65.35432334,127.4289799,109.2817555,0.631176861,1.50204764,1.101585101
       (2009 WN25),18.4,,3.330347583,0.633583638,71.20307869,231.8824167,181.1895861,342.0090403,1.220293845,5.440401321,6.077745997
       (2009 WP25),19.7,,1.397897378,0.772669321,27.53072763,245.2317888,29.01263186,48.60283225,0.317784961,2.478009795,1.652803172
       (2009 WQ25),23.9,,2.502199523,0.721371816,4.471429932,44.75756435,286.307957,14.22931789,0.69718331,4.307215736,3.958139603
       (2009 WR25),21.6,,0.867484592,0.480941612,31.71754209,238.2271305,31.3525537,238.7481723,0.450275154,1.284694029,0.807980458
       (2009 WS25),25.1,,1.196711465,0.152309314,14.77867274,239.4120559,218.8980211,281.8453669,1.014441163,1.378981768,1.309158953
       (2009 WT25),23.1,,2.261966337,0.461352875,5.433645272,248.1144067,173.078005,146.5480687,1.218401665,3.305531008,3.402024275
       (2009 WU25),25,,2.420396456,0.601552917,5.408752338,60.78717962,331.1975934,6.005169698,0.964399907,3.876393006,3.765632771
       (2009 WV25),24,,1.400337188,0.427035833,0.411844063,341.8299221,155.1138508,325.7794271,0.80234303,1.998331345,1.657132121
       (2009 WW25),20.7,,1.97736513,0.452421886,1.483861218,269.143525,156.2411879,58.01481106,1.082761868,2.871968391,2.78059994
       (2009 WV51),27.1,,1.166723991,0.432802038,8.44697662,62.10554792,95.73930136,27.46245422,0.66176347,1.671684513,1.260260704
       (2009 WY51),21.8,,2.617685471,0.711427806,11.81499445,249.3377069,87.1456597,16.20045909,0.755391239,4.479979703,4.235302124
       (2009 WZ51),25.4,,2.366873022,0.577719988,8.927015617,57.7561281,337.4467716,5.550234414,0.999483168,3.734262877,3.641418897
       (2009 WA52),26.3,,1.800822393,0.475344643,1.788846346,253.3988431,213.9984202,344.6041881,0.944811116,2.656833669,2.416654279
       (2009 WB52),25.7,,1.699035895,0.37302379,11.98257548,57.50102039,15.99361991,354.4593987,1.065255086,2.332816704,2.214685354
       (2009 WD52),24.9,,1.314162258,0.225835796,30.21221566,61.60193582,326.8896867,20.82289279,1.017377379,1.610947137,1.50654354
       (2009 WQ52),28.1,,2.57385587,0.660624462,5.783932478,61.31681209,49.07223166,351.6842309,0.873503722,4.274208019,4.129377033
       (2009 WR52),28.3,,1.033543861,0.155035512,4.236710302,61.00849137,269.9509429,87.13166028,0.87330786,1.193779863,1.050755253
       (2009 WS52),23.5,,1.774511153,0.39556179,27.95503098,240.0211323,157.3090094,9.58335419,1.072582345,2.476439962,2.363884769
       (2009 WZ53),24.2,,1.136998307,0.2419465,32.68854938,61.58495254,111.568568,275.9143611,0.861905546,1.412091067,1.212405587
       (2009 WA54),26.8,,1.577165755,0.380758122,6.897107091,245.050461,150.3943938,11.40880675,0.976647084,2.177684426,1.980725124
       (2009 WB54),26.4,,1.369767901,0.357223182,18.94018908,61.62400966,300.2660747,116.5751609,0.880455053,1.85908075,1.603166686
       (2009 WC54),24.1,,0.901924527,0.231406402,17.94214883,244.0324386,358.3451166,11.95689615,0.693213417,1.110635637,0.856571259
       (2009 WD54),28.5,,0.817896292,0.295711039,3.02116196,61.40976541,211.1012771,129.1215967,0.57603533,1.059757255,0.739699902
       (2009 WF54),25.8,,1.437722194,0.307899155,3.280774893,240.635209,128.3378915,28.11826356,0.995048745,1.880395643,1.723934129
       (2009 WG104),20.2,,1.686497207,0.305207485,15.71287134,261.8982007,103.591158,134.1551782,1.171765635,2.201228778,2.190214459
       (2009 WH104),21.1,,2.579199851,0.554325687,16.50682525,242.9256019,123.2200556,299.8929477,1.149483121,4.008916581,4.142244165
       (2009 WW104),22.5,,1.527374204,0.462093352,7.063518886,254.6370149,84.82165935,85.05419327,0.821584739,2.233163669,1.887671329
       (2009 WX104),26,,1.712648915,0.447378312,17.54633031,242.1477498,134.1735483,16.79989309,0.946446934,2.478850896,2.241355359
       (2009 WY104),25,,0.995451362,0.223446737,26.8006651,61.25639426,126.7633939,255.856659,0.773021004,1.217881721,0.993203566
       (2009 WA105),24,,2.541195669,0.590497814,7.953415081,58.08164726,8.158230539,314.1480711,1.040625181,4.041766157,4.051029092
       (2009 WB105),23.5,,0.825449697,0.252477335,38.40400529,242.6025926,347.5304568,6.695907463,0.617042357,1.033857036,0.749970396
       (2009 WM105),23,,0.900040419,0.156376045,9.24264348,45.6159746,198.3735525,29.06109588,0.759295658,1.040785181,0.853888613
       (2009 WN105),22.4,,2.619285689,0.547019469,13.59459657,74.94125788,36.35313934,254.9560828,1.186485421,4.052085957,4.239186343
       (2009 WC106),25.5,,1.082904055,0.178243589,5.347138666,243.0071063,257.7860572,300.2869182,0.88988335,1.27592476,1.126920222
       (2009 WE106),27.2,,1.970776479,0.502627225,4.3886375,66.88689282,24.26287466,352.0064007,0.980210566,2.961342393,2.766713938
       (2009 WF106),19.8,0.04,2.114035904,0.710313747,36.86495432,76.65047328,102.4652011,257.7055118,0.612407139,3.615664669,3.073808029
       (2009 WG106),25.5,,1.415295349,0.313119496,2.400780456,252.8319103,149.5356575,330.7217053,0.972138782,1.858451916,1.683754702
       (2009 WH106),22.6,,2.487117782,0.62036371,2.91038423,278.0904017,98.84077479,351.5364834,0.944200167,4.030035398,3.922407685
       (2009 WJ106),25.5,,1.368447593,0.645021675,1.12410895,81.6418666,231.9232823,34.08804796,0.485769234,2.251125952,1.600849326
       (2009 WK106),22.3,,1.800816344,0.401556458,24.48920293,70.16412994,287.1391944,30.7792692,1.077686911,2.523945777,2.416642105
       (2009 WN106),24.8,,1.47322242,0.315790189,11.41166977,62.03097756,24.53596586,350.2241541,1.007993234,1.938451606,1.788177729
       (2009 WP106),25.2,,1.395078371,0.27754206,9.855162898,241.237956,198.2915271,3.694848598,1.007885447,1.782271295,1.647806117
       (2009 WQ106),24.5,,1.305562624,0.182651059,23.29345438,68.89380145,28.36637436,338.3803174,1.067100229,1.54402502,1.491779948
       (2009 WM139),18.7,,2.391877769,0.501759513,20.78864266,127.2863032,265.4814344,53.5353334,1.191730344,3.592025193,3.699275495
       (2009 WE253),17.9,,2.590282214,0.550555544,11.94247179,283.5895518,105.7080789,299.452844,1.164187981,4.016376447,4.168970552
       (2009 XD),18.7,0.154,2.449452712,0.674027052,31.46381362,255.9513462,269.2438056,347.1250138,0.798455321,4.100450103,3.833644095
       (2009 XV),21,,2.565938071,0.687749061,3.341217462,44.50456782,327.1106829,301.0426667,0.801216571,4.330659571,4.11033726
       (2009 XQ1),22.3,,1.079178678,0.296934679,17.78488519,256.7611009,318.5519053,1.107564867,0.758733103,1.399624252,1.121110025
       (2009 XR1),29.2,,1.629276725,0.407411939,0.473292167,258.0030447,208.4151073,349.0095335,0.965489935,2.293063516,2.079698998
       (2009 XV1),22.5,,1.717502682,0.662591776,19.54620189,80.6689203,255.1012138,74.32133322,0.57949953,2.855505835,2.250890345
       (2009 XA2),23.2,,1.573460297,0.458436325,26.63497764,255.8863998,107.7275934,30.64041652,0.85212894,2.294791653,1.973748829
       (2009 XB2),20.3,,1.673498226,0.34470678,11.93860987,99.38145493,301.3560359,145.5221819,1.096632042,2.25036441,2.164941107
       (2009 XO2),23.5,,1.93463889,0.488530264,12.62544618,91.121234,15.57843027,95.90696957,0.989509243,2.879768537,2.690965146
       (2009 XP2),25.2,,1.214849439,0.198496445,9.24869364,79.87202899,325.8130264,251.7778268,0.973706144,1.455992734,1.339034876
       (2009 XQ2),25.2,,1.169486229,0.565944357,6.757914564,271.1703413,282.4839248,315.2292137,0.507622097,1.831350361,1.264738882
       (2009 XT6),20.2,,2.180338698,0.767943295,5.73982192,264.9825986,81.91568693,226.9220308,0.505962214,3.854715183,3.219542384
       (2009 XZ6),26.2,,1.222112987,0.201797044,6.473142978,85.08292516,326.8831586,216.351415,0.975494199,1.468731775,1.351061881
       (2009 XP7),24,,1.672016089,0.387524058,12.13835146,264.4492436,148.2664056,134.0115056,1.024069629,2.319962549,2.162065667
       (2009 XH8),23.2,,2.067370396,0.477856724,4.91676322,79.27245622,1.59539047,317.4364301,1.07946355,3.055277242,2.972594309
       (2009 XK8),25.1,,2.488895561,0.615752505,2.772225784,106.8753839,300.8554058,7.011856665,0.956351884,4.021439239,3.926614012
       (2009 XL8),22.6,,1.239014339,0.480140848,13.68953437,270.2149084,283.3435493,82.59189636,0.644112944,1.833915734,1.379185559
       (2009 YA),24.8,,2.358786171,0.577186397,28.15746225,84.68642825,38.16086547,351.1101835,0.99732688,3.720245463,3.622772495
       (2009 YF),24.7,,0.935160967,0.121484434,1.526130414,87.48364362,193.6281043,68.73829329,0.821553467,1.048768468,0.904352533
       (2009 YP),24,,0.819830206,0.424739786,10.00001315,86.01480031,203.064611,140.9971852,0.471615699,1.168044712,0.74232498
       (2009 YQ),20.5,,2.123009679,0.718756339,8.53842769,264.8572473,309.5315334,338.9533927,0.597083015,3.648936343,3.093400587
       (2009 YR),28,,0.94199698,0.110225137,0.700126212,87.15271274,128.0782113,100.4403982,0.838165234,1.045828725,0.914286838
       (2009 YS),25.3,,1.192205073,0.179197932,6.751066515,81.45757856,338.7796202,327.8811047,0.978564389,1.405845757,1.301771174
       (2009 YT6),20.6,,1.662062981,0.490799721,22.12739448,72.20357564,100.3144584,93.16061264,0.846322934,2.477803029,2.142789044
       (2009 YU6),21.4,,2.453792347,0.630240809,12.16672275,91.6732334,294.9941011,16.97921331,0.907312273,4.000272422,3.843836566
       (2009 YV6),20.9,,1.448287362,0.257329211,13.92220055,269.6676236,299.1478021,125.5134119,1.075600718,1.820974006,1.742971612
       (2010 AF),25,,0.962112616,0.297782089,23.60240722,105.2389566,242.8522428,145.3384312,0.675612711,1.248612522,0.943728492
       (2010 AJ),20.2,,2.83691371,0.602367065,1.326249705,232.8593467,176.9539838,157.8511928,1.128050324,4.545777096,4.778343774
       (2010 AL),22.6,,1.748086972,0.398005917,9.442075689,110.4300024,34.21162409,334.4918923,1.052338014,2.44383593,2.311281039
       (2010 AR1),25.8,,1.525691449,0.371027725,0.557845879,202.5134936,227.1949742,49.48499095,0.959617621,2.091765277,1.88455263
       (2010 AK2),19,,2.148641754,0.714031273,45.15150853,291.258221,309.6169683,184.1528136,0.614444347,3.68283916,3.14959142
       (2010 AL2),26.7,,1.757233317,0.431615942,7.52648408,106.1837763,20.65475979,353.389958,0.998783404,2.51568323,2.329444381
       (2010 AM2),23.7,,1.468311624,0.51777217,1.284392438,45.50711364,323.6923132,39.34271007,0.708060728,2.228562521,1.779244196
       (2010 AN2),22.23,0.155,1.679391981,0.499344713,8.465363032,291.2210353,270.7714387,60.22264611,0.840796475,2.517987486,2.176387961
       (2010 AO2),22.6,,1.01224743,0.33786876,19.58361967,289.9390395,323.5890649,341.9319998,0.670240646,1.354254213,1.018446515
       (2010 AB3),23.3,,2.697494909,0.6121675,2.2494988,296.3677946,143.1097641,6.100439927,1.046176193,4.348813624,4.430463395
       (2010 AC3),22.5,,1.722458392,0.357058272,23.94972796,281.3255125,137.2308843,22.5750307,1.107440375,2.337476409,2.260639502
       (2010 AD3),24,,2.953852476,0.632448612,4.486933059,277.7191111,209.7238938,90.87622228,1.085692577,4.822012375,5.076815779
       (2010 AE3),23.7,,1.882047821,0.558545747,10.29704939,114.8181178,289.5931728,18.63619679,0.830838015,2.933257627,2.581987787
       (2010 AF3),26.1,,1.016585199,0.123607987,11.81832548,285.6418679,289.9361281,338.5899938,0.890927149,1.14224325,1.025000025
       (2010 AG3),27.5,,1.372171494,0.281348894,2.452989577,109.331298,31.70777427,36.97021252,0.986112562,1.758230426,1.607388258
       (2010 AH3),26.3,,1.661462328,0.424832496,2.00121042,100.7276282,325.657713,17.54531261,0.95561914,2.367305516,2.141627575
       (2010 AJ3),24.5,,1.225550693,0.307046741,16.93593223,110.0116859,291.2765027,203.2250708,0.849249347,1.60185204,1.356766533
       (2010 AE30),23.6,0.259,1.267643133,0.416773888,5.966267583,279.4275007,278.3130311,328.7045897,0.739322575,1.79596369,1.427262037
       (2010 AF30),21.7,,1.324956883,0.37167886,3.058607216,62.42512622,162.8016551,113.0463099,0.83249842,1.817415346,1.525143895
       (2010 AG30),27.1,,2.260517476,0.694675778,2.08763293,103.5812207,84.62426697,346.5349782,0.690190739,3.830844213,3.398756143
       (2010 AJ30),22.7,0.12,0.811305807,0.302376962,7.574614687,303.3800463,350.8322089,60.01551284,0.565985621,1.056625992,0.730777351
       (2010 AL30),27.2,,1.046038519,0.307595178,3.830723559,112.3631698,97.73714925,194.8621625,0.724282115,1.367794924,1.069866819
       (2010 AE40),23.9,,1.864834649,0.45295836,21.43183387,294.5835074,155.3109354,8.531849584,1.020142204,2.709527094,2.546646689
       (2010 AF40),25,,1.238094019,0.464391707,4.304553164,119.2134465,93.18892742,67.09704582,0.663133424,1.813054614,1.377649188
       (2010 AG40),22,0.319,1.755244651,0.608139154,2.030174792,21.5730716,183.7658383,309.4169772,0.687811654,2.822677649,2.325491143
       (2010 AL60),22.4,,1.228775696,0.160375051,16.14873496,108.1742943,339.6207193,163.0028,1.031710731,1.425840661,1.362125494
       (2010 AM60),23.8,,2.403875304,0.571703845,11.24879213,113.932707,336.0428539,28.19688546,1.029570549,3.778180059,3.72714343
       (2010 AN60),26.9,,2.00109606,0.573736594,4.553803202,297.5921658,123.3605321,13.63413627,0.852994022,3.149198098,2.830806001
       (2010 AO60),21.8,,0.951116393,0.248166189,11.05771015,309.9776168,37.32657229,231.4991101,0.715081462,1.187151323,0.927595649
       (2010 AN61),27,,1.15633554,0.132073453,3.6132212,116.3865263,8.71486278,64.00740492,1.003614313,1.309056767,1.243466281
       (2010 AB78),18.2,0.03,2.253867921,0.546922913,33.26515342,316.8921422,296.5304486,108.8502845,1.021175911,3.486559931,3.383770468
       (2010 AG79),20,0.018,2.898664224,0.581055688,33.01090372,50.15859981,13.8116084,119.1751558,1.214378888,4.58294956,4.93520353
       (2010 AW108),,,1.43226005,0.280420204,10.99607322,55.67625241,75.10084219,339.4228262,1.030625394,1.833894707,1.714119202
       (2010 AG127),,,1.440850182,0.100432411,23.68784707,245.6048608,53.63997826,227.2530514,1.296142125,1.585558239,1.729563218
       (2010 BC),22.2,0.433,1.937212639,0.568754232,9.566210153,120.9726351,60.59547247,72.98379064,0.835414753,3.039010525,2.696336824
       (2010 BQ),20.2,,2.33007676,0.547347479,37.070213,302.8159397,148.5576155,85.97543072,1.054715119,3.605438401,3.556833573
       (2010 BG2),19.9,,3.401656079,0.907670483,42.88991446,128.2322728,238.7978037,304.3657114,0.314073264,6.489238894,6.273989769
       (2010 BH2),19.5,0.213,2.350351667,0.463069437,24.62143514,108.2396002,45.66500625,48.03677185,1.261975643,3.438727691,3.603358511
       (2010 BK2),22,0.205,0.90384637,0.44787186,6.045428775,278.0536611,72.63212525,193.1576439,0.499039016,1.308653725,0.859310522
       (2010 BU2),24.5,,2.400744209,0.586434173,3.164988258,123.7080098,13.20172882,23.49218266,0.992865764,3.808622654,3.719863786
       (2010 BB3),20.1,,1.532569849,0.184015831,10.89600224,141.7146532,347.3948616,9.478318977,1.250552735,1.814586964,1.897311409
       (2010 BC3),20.5,,3.1829928,0.654013362,4.84040522,359.206477,154.9437155,2.594910566,1.101272977,5.264712623,5.678866857
       (2010 BT3),21.4,,2.586205162,0.542979177,13.72608566,308.0346834,151.0515742,279.4305531,1.181949613,3.990460712,4.159131614
       (2010 BZ4),22.4,,2.757843334,0.638248914,9.783173438,97.39049,52.77747266,169.8440302,0.997652822,4.518033846,4.579969536
       (2010 BG5),24,,1.471837517,0.386663273,6.60151221,318.7391081,216.7505123,122.1086448,0.902732005,2.04094303,1.785656857
       (2010 CA),24.3,,1.318420482,0.459879009,9.902604478,134.5323988,93.12760084,149.3517102,0.712106577,1.924734387,1.513871852
       (2010 CL),25,,1.568976519,0.389095941,18.25187922,315.9942126,136.2342139,19.88150431,0.958494124,2.179458914,1.965318166
       (2010 CM),18.2,0.057,2.626789479,0.530950022,7.432930746,124.9905314,94.44775378,209.0530181,1.232095546,4.021483412,4.257416163
       (2010 CN),23.4,,1.390274358,0.224069221,10.66699418,317.8811494,212.414989,322.3404338,1.078756666,1.701792049,1.639302009
       (2010 CT),20.2,,0.887843005,0.657679705,19.75955837,176.0533035,104.3340246,147.9203206,0.303926679,1.471759331,0.836589614
       (2010 CJ1),24.1,,1.563949027,0.49470302,4.087407772,138.1735631,281.7838649,30.77159167,0.79025872,2.337639334,1.955879494
       (2010 CK1),24,0.063,1.146418366,0.215297008,27.26781458,141.4576438,77.8915724,306.5414605,0.899597922,1.393238811,1.227503969
       (2010 CM1),25.2,,2.035090233,0.517908164,5.12385392,140.7139705,309.4827026,15.65095019,0.981100386,3.089080081,2.903245138
       (2010 CR5),19.6,,2.978699376,0.815085323,5.573903422,323.360693,49.50342739,24.48588892,0.550805232,5.40659352,5.141007221
       (2010 CH18),19,0.286,2.605282089,0.571189483,27.15555528,49.21763971,109.8654232,245.6171882,1.117172361,4.093391818,4.205235606
       (2010 CJ18),26.8,,1.197606912,0.260087068,7.787262324,148.6834724,63.43646307,202.7270315,0.886124841,1.509088983,1.310628608
       (2010 CL18),18.3,,2.67990544,0.561879733,18.26982934,160.1420219,30.24592005,205.6681162,1.174120887,4.185689992,4.387199743
       (2010 CB19),24.5,,1.026264984,0.310193751,6.001754184,320.4586814,76.66161157,50.23754541,0.707924,1.344605968,1.039674684
       (2010 CC19),22.3,0.196,1.100297773,0.751400409,46.17718531,144.1775944,138.3848478,315.8618194,0.273533576,1.927061971,1.154180024
       (2010 CE19),25.2,,1.937696988,0.4830275,7.593340068,143.1259559,326.5809778,12.24834887,1.001736057,2.873657918,2.697348109
       (2010 CH19),22.2,,1.70329988,0.501501233,10.06826884,325.1198102,80.72699967,41.65623298,0.84909289,2.55750687,2.223027709
       (2010 CK19),27.9,,0.986872275,0.150057915,2.256021105,328.5366399,278.9033362,131.8530936,0.838784279,1.134960271,0.980391697
       (2010 CM19),25,,1.448526309,0.31548112,4.311877685,145.8845632,353.0498067,8.399208469,0.991543607,1.905509011,1.743402978
       (2010 CN19),26.3,,1.017201275,0.283825731,15.77202741,145.1314411,254.7709696,73.07846835,0.72849338,1.30590917,1.025931929
       (2010 CO19),25.7,,1.388234523,0.258569318,9.77761668,323.8333611,208.1069097,345.0772661,1.02927967,1.747189377,1.635695515
       (2010 CP19),25.9,,1.18696562,0.147858753,13.97546688,145.3244847,27.24488212,342.0849379,1.011462364,1.362468876,1.293199155
       (2010 CQ19),27.1,,2.809922867,0.646414486,0.15772881,211.4498072,271.7022289,4.182217034,0.993548022,4.626297712,4.710313361
       (2010 CR19),26.4,,1.361584762,0.25695165,25.10917179,324.9462884,219.7087695,336.9656728,1.011723311,1.711446213,1.588821931
       (2010 CS19),28,,1.738857272,0.440861219,4.181506853,143.5923807,340.566054,352.8232759,0.972262535,2.505452009,2.293000271
       (2010 CN44),19.6,0.185,2.859045003,0.674146193,3.850101676,189.0865456,303.7486573,128.7964827,0.931630698,4.786459308,4.83436781
       (2010 CO44),24.6,0.218,1.070361202,0.230569662,6.182443052,327.4500503,73.80166729,173.6176261,0.823568382,1.317154023,1.107398014
       (2010 CP44),25.7,,2.092901569,0.583782229,5.126323231,320.5332918,245.4391069,345.3138118,0.871102826,3.314700311,3.027829441
       (2010 CA55),22.2,,2.235608856,0.699954827,54.67148767,106.6449776,302.2762376,19.83478848,0.670783645,3.800434066,3.342734888
       (2010 CB55),22.7,0.037,1.133222819,0.148030186,25.92198043,144.6182333,108.4849254,61.12346724,0.965471634,1.300974003,1.206371778
       (2010 CC55),22.5,0.033,1.545920138,0.468779776,6.781004717,70.56271818,18.24425514,357.8079203,0.821224042,2.270616234,1.922156675
       (2010 CD55),23.3,0.145,1.023982932,0.20128237,5.930749164,326.8183584,279.3362023,271.9131877,0.817873221,1.230092644,1.036208807
       (2010 CE55),22.2,,1.289709155,0.220474653,2.528956658,191.959974,58.62328351,191.1778773,1.005360977,1.574057332,1.464690538
       (2010 CF55),21.7,0.119,1.900173811,0.761213632,5.15171173,311.5055345,321.8400687,331.8641461,0.453735602,3.34661202,2.619378114
       (2010 CH55),19.6,,1.846053023,0.408489114,1.536294612,243.2222974,178.6518679,245.6145143,1.09196046,2.600145586,2.508271008
       (2010 CP140),19.5,0.11,1.899667271,0.538648176,14.48194833,271.8251963,189.9255023,143.5080369,0.87641496,2.922919581,2.61833079
       (2010 CN141),22.4,0.03,1.516164326,0.399006306,23.79609538,37.88147231,22.06362589,66.45774058,0.911205199,2.121123452,1.866928188
       (2010 CJ171),21.1,0.358,1.996663618,0.490412611,7.378745309,147.2341508,99.80220666,334.3153889,1.0174746,2.975852637,2.821405829
        (2010 CN178),21.15,,1.8665873,0.3587875,8.39157,322.98106,241.41512,134.81532,1.1968791,2.5362955,2.550237665
       (2010 CV180),18.98,,3.074164361,0.599498686,18.75416,339.0168339,240.4556817,24.41942421,1.231206865,4.917121856,5.390124883
       (2010 CW180),20,,2.399330423,0.469539163,21.98450679,353.8355028,114.9414535,36.50067081,1.272750824,3.525910021,3.716578356
       (2010 CJ188),22,,1.540509509,0.336235487,22.21328804,104.0076595,14.33079216,19.37637682,1.022535543,2.058483475,1.912074358
       (2010 DF),24.5,,1.166993908,0.043495833,20.88542255,324.3545845,203.6395815,339.5851319,1.116234536,1.21775328,1.260698063
       (2010 DG),24.8,,1.625207649,0.32681429,13.87747283,146.0275991,20.70420777,350.0413529,1.094066565,2.156348734,2.071912874
       (2010 DJ),26.5,,1.207885864,0.136423537,0.234930383,3.19980233,106.7959743,28.39001577,1.043101802,1.372669926,1.327538272
       (2010 DK),22.9,,1.872371936,0.308127589,22.04935333,146.2553765,331.4859044,15.92267407,1.295442486,2.449301386,2.562101832
       (2010 DL),27,0.08,1.352694249,0.313778123,2.567981688,333.6477332,113.6845028,33.1183013,0.928248386,1.777140111,1.573285962
       (2010 DN),20.9,,2.573715389,0.531895234,26.92339719,149.4023669,288.4882344,294.7796455,1.20476844,3.942662338,4.129038966
       (2010 DO),21.7,0.176,1.612654426,0.745733704,11.93784094,154.453891,116.8172154,172.3389202,0.410043667,2.815265184,2.047953877
       (2010 DE1),23.9,,1.49949788,0.212594513,23.17530981,144.9976521,355.9864805,4.357018451,1.180712858,1.818282902,1.83622961
       (2010 DG1),24.5,,1.935623219,0.653216154,1.521280355,314.3778876,105.3693458,21.88176464,0.671242864,3.200003574,2.69301912
       (2010 DJ1),26.9,,2.239337376,0.709364288,5.517125875,329.7066694,261.567543,123.5552936,0.650831412,3.827843339,3.35110083
       (2010 DN1),18.9,,2.229761746,0.482975945,21.40804603,287.4935379,248.0385338,126.1548703,1.152840459,3.306683033,3.329629364
       (2010 DT1),23.8,,0.986259168,0.46359167,25.71212951,324.7826245,46.56815728,85.90349276,0.529037633,1.443480702,0.979478217
       (2010 DU1),26.5,,1.690800782,0.540697426,3.71281835,147.8302757,74.25701495,337.6566355,0.776589152,2.605012413,2.198603234
       (2010 DX1),21.6,0.146,2.592366938,0.704879405,20.24823463,333.4378044,102.3574685,273.8584404,0.765060872,4.419673004,4.174004504
       (2010 DY1),25.8,,2.324154612,0.562107291,8.046779286,144.8711983,13.52149792,358.2564282,1.017730358,3.630578866,3.543282064
       (2010 DZ1),25.6,,1.473931366,0.309224245,16.29498168,331.5640923,180.2466195,124.7323639,1.018156052,1.92970668,1.789468647
       (2010 DE2),26.8,,1.546889532,0.358585404,4.710874711,336.8665535,187.6410016,319.3227656,0.992197524,2.101581539,1.923964937
       (2010 DM21),20.2,0.133,2.861260563,0.656804407,21.15401122,178.0208359,263.1653041,132.6563068,0.981972014,4.740549112,4.839988344
       (2010 DB34),19.47,,1.698447458,0.290825851,25.78930594,188.7767138,22.26109019,16.60824173,1.204495031,2.192399884,2.213534915
       (2010 DK34),20.4,0.152,2.779028174,0.765299979,27.4140303,91.11488611,164.0808343,350.6821969,0.652237971,4.905818376,4.632843468
       (2010 DH56),20.3,0.022,2.23721562,0.566630989,33.65082899,285.7730647,267.014199,121.6340035,0.96953992,3.50489132,3.346339244
       (2010 DG77),22.415,,1.798122756,0.463595295,13.32802887,291.4292099,194.877982,9.44280598,0.964521507,2.631724006,2.41122206
       (2010 DH77),21.4,0.009,3.269683003,0.708075627,34.33680521,305.2213851,236.6208521,323.6665831,0.954500161,5.584865845,5.91243905
       (2010 DJ77),21.954,,0.954516159,0.210373251,24.72395416,286.7275393,103.7626605,175.4504678,0.753711491,1.155320827,0.932573627
       (2010 EX11),24.1,0.234,0.956033162,0.109668379,9.745353209,4.002066028,42.71459542,147.6702103,0.851186555,1.06087977,0.934797706
       (2010 ES12),25.7,,2.421445825,0.654843081,2.048692861,158.5201757,312.4549344,12.06953187,0.835778782,4.007112869,3.768081936
       (2010 EF21),18.4,,2.418940559,0.721055639,10.67583714,299.0029791,145.7232397,11.82106632,0.674749828,4.16313129,3.762235673
       (2010 EG21),24.4,0.038,0.844378366,0.226432875,9.704525762,168.5843709,186.3644229,18.63820296,0.653183346,1.035573387,0.775914466
       (2010 EB43),22.33,,1.351537186,0.218614691,25.44489528,166.0381924,323.5534374,97.42714044,1.056071301,1.647003071,1.571267767
       (2010 EC43),23,0.434,2.429966783,0.604063651,0.781327036,344.2839506,225.6149992,351.1868172,0.962112176,3.89782139,3.787988987
       (2010 ED43),19.83,,1.336849113,0.20223069,56.99563245,158.4963679,226.3697261,226.0955874,1.066497195,1.607201031,1.545723432
       (2010 EE43),24.3,,1.41414527,0.240473746,2.706852267,11.96382794,176.9172709,249.4850505,1.07408046,1.754210081,1.681702773
       (2010 EF43),26.4,,2.022531442,0.589666362,3.853001927,174.1658182,61.25288189,345.2420966,0.829912686,3.215150199,2.87641222
       (2010 EG43),24.9,,1.7806797,0.389000181,7.662353409,352.8901749,159.4363051,10.4002775,1.087994974,2.473364425,2.37622146
       (2010 EJ43),21.08,,1.14801755,0.460782324,6.651808468,26.71263667,21.49552189,145.340122,0.619031356,1.677003744,1.230073303
       (2010 EK43),21.6,0.068,1.397445445,0.653443743,7.877872642,18.39950547,38.56482562,341.261991,0.484293463,2.310597428,1.652001724
       (2010 EQ43),18.24,,2.390038787,0.476805704,44.11442272,5.050647552,274.7694663,337.0758917,1.250454661,3.529622913,3.695010065
       (2010 EF44),20.2,,2.186538995,0.888180121,38.03496866,173.7274891,235.0716141,192.1945139,0.244498526,4.128579464,3.233285412
       (2010 EK44),19.8,,2.834482555,0.772919914,11.25789964,180.6933365,107.7084681,110.6779081,0.643654542,5.025310568,4.772202731
       (2010 EN44),24.682,,1.097558633,0.12372584,8.351493338,12.61243146,211.830586,321.1986403,0.96176227,1.233354996,1.14987279
       (2010 EZ45),22.6,,1.528392797,0.275107076,8.363212925,12.10403435,166.137291,351.1697088,1.107921124,1.94886447,1.889559951
       (2010 EA46),23.7,,2.853443068,0.639284441,5.948071131,156.3094849,345.7282114,137.6546745,1.029281311,4.677604825,4.820166279
       (2010 EC46),20.086,,1.544527808,0.403490794,49.36530446,350.329984,323.0646382,257.7327263,0.921325057,2.16773056,1.91956048
       (2010 EC135),20.3,,2.229871678,0.485411447,5.065691432,152.7539791,111.8835924,110.8349873,1.14746644,3.312276916,3.329875603
       (2010 EF181),19.5,,2.185669986,0.406891206,23.54944177,160.3252595,233.8151563,219.4381565,1.29634009,3.074999881,3.231358067
       (2010 FB),23.8,,1.194314888,0.285963885,24.18800263,172.0992496,276.6666847,55.50328885,0.852783963,1.535845813,1.30522827
       (2010 FC),24,0.051,1.329922641,0.240154099,7.041813245,155.7559336,62.40045917,105.5721587,1.010536267,1.649309015,1.533725972
       (2010 FD),26.1,,2.873067951,0.633557502,0.343656144,22.67297497,162.2690719,112.6497101,1.052814197,4.693321705,4.869978555
